ac_no,ac_name,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,source,district,region_scope
17,Jalpaiguri (SC),Pradip Kumar Barma,TMC,95668,Sujit Singha,BJP,94727,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
18,Rajganj (SC),Khageswar Roy,TMC,104641,Supen Roy,BJP,88868,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
19,Dabgram-Phulbari,Sikha Chatteree,BJP,129088,Goutam Deb,TMC,101495,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
20,Mal (ST),Bulu Chik Baraik,TMC,99086,Mahesh Bagey,BJP,93621,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
21,Nagrakata (ST),Puna Bhengra,BJP,70945,Joseph Munda,TMC,56543,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
22,Kalimpong,Ruden Sada Lepcha,GJM (TAMANG),58206,Suva Pradhan,BJP,54336,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Kalimpong,North Bengal
23,Darjeeling,Neeraj Zimba,BJP,68907,Keshav Raj Sharma,GJM (TAMANG),47631,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Darjeeling,North Bengal
24,Kurseong,Bishnu Prasad Sharma,BJP,73475,Tshering Lama Dahal,GJM (TAMANG),57960,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Darjeeling,North Bengal
25,Matigara-Naxalbari (SC),Anandamoy Barman,BJP,139785,Rajen Sundas,TMC,68454,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Darjeeling,North Bengal
26,Siliguri,Shankar Ghosh,BJP,89370,Om Prakash Mishra,TMC,53784,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Darjeeling,North Bengal
27,Phansidewa (ST),Durga Murmu,BJP,105651,Choton Kisku,TMC,77940,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Darjeeling,North Bengal
28,Chopra,Hamidul Rahaman,TMC,124923,Md. Shahin Akhtar,BJP,59604,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
29,Islampur,Abdul Karim Chowdhury,TMC,100131,Saumya Roop Mandal,BJP,62691,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
30,Goalpokhar,Md. Ghulam Rabbani,TMC,105649,Gulam Sarwar,BJP,32135,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
31,Chakulia,Minhajul Arfin Azad,TMC,86311,Sachin Prasad,BJP,52474,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
32,Karandighi,Goutam Pal,TMC,116594,Subhash Singha,BJP,79968,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
33,Hemtabad (SC),Satyajit Burman,TMC,116425,Chandima Roy,BJP,89210,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
34,Kaliaganj (SC),Soumen Roy,BJP,116768,Tapan Dev Singha,TMC,94948,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
35,Raiganj,Krishna Kalyani,BJP,79775,Kanaia Lal Agarwal,TMC,59027,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
36,Itahar,Mosaraf Hossain,TMC,114645,Amit Kumar Kundu,BJP,70670,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Uttar Dinajpur,North Bengal
37,Kushmandi (SC),Rekha Roy,TMC,89968,Ranjit Kumar Roy,BJP,77384,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
