ac_no,district,ac_name,candidate,candidate_votes_total,booth_count,needs_review,notes
3,Cooch Behar,,2,5147,16,True,
30,Uttar Dinajpur,Goalpokhar,GHULAM,5134,16,True,
26,Darjeeling,,be,4959,22,True,
45,Malda,,Younish Ghosh,4945,45,True,
40,Dakshin Dinajpur,Tapan (ST),APP,4928,44,True,
3,Cooch Behar,,Column 4,4889,18,True,
9,Cooch Behar,,Sushil Kumar,4781,45,True,
52,Malda,MOTHABARI,SHYAMCHAN YEASMIN,4675,34,True,
39,Dakshin Dinajpur,BALURGHAT,"SUCHETA BARMAN, KPP (U)",4570,66,True,
47,Malda,MALATIPUR,ALBERUNI Votes,4560,113,True,
3,Cooch Behar,,3,4288,16,True,
52,Malda,MOTHABARI,Votes,3964,30,True,
53,Malda,SUJAPUR,MD NASMUL ISLAM,3930,47,True,
52,Malda,MOTHABARI,MD FARUQUE GHOSH,3900,30,True,
23,Darjeeling,,TAMANG SHARMA,3870,21,True,
20,Jalpaiguri,,Electors,3767,19,True,
42,Dakshin Dinajpur,Harihampur Assembly,KUMAR BORTY,3752,37,True,
49,Malda,MANIKCHAK,GOUR ALAM,3687,50,True,
38,Dakshin Dinajpur,Kumarganj AC,of,3679,14,True,
24,Darjeeling,,Uttitm Prasad,3646,16,True,
52,Malda,MOTHABARI,SHYAMCHAN SABINA (SAHITYARATNA),3591,30,True,
12,Alipurduar,,PIJUSH ROY,3590,14,True,
24,Darjeeling,,Utkrm Brahman,3393,18,True,
12,Alipurduar,,ASHIM DAS,3322,14,True,
40,Dakshin Dinajpur,Tapan (ST),No. of Electors in Assembly Constituency,3305,65,True,
17,Jalpaiguri,,KUMAR SINGH,3093,52,True,
41,Dakshin Dinajpur,Gangarampur (SC),DAS.AI'I(',3078,18,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),PRADHAN,3067,38,True,
45,Malda,,Nihar Rabidas,3046,17,True,
23,Darjeeling,,PEMBA SHERPA,3013,21,True,
17,Jalpaiguri,,SARKAR,2946,24,True,
24,Darjeeling,,Pranav Ellkram,2944,22,True,
53,Malda,SUJAPUR,MD ABDUL RAFIQUL,2845,44,True,
23,Darjeeling,,KESHAV TSHERING,2806,20,True,
24,Darjeeling,,Elikram Bhuprlndra Rai,2757,20,True,
26,Darjeeling,,of,2722,23,True,
32,Uttar Dinajpur,,HARUN SINHA,2687,48,True,
46,Malda,,MD. RAM MUSARAF,2685,26,True,
35,Uttar Dinajpur,,KANAIAKRISHNA,2641,29,True,
15,Jalpaiguri,,ROY,2243,26,True,
17,Jalpaiguri,,DR. SOUJIT KUMAR,2150,10,True,
25,Darjeeling,,Column 3,2145,68,True,
10,Alipurduar,,KALAWATI KUJUR,2100,7,True,
31,Uttar Dinajpur,Chakulia,Ali lmran,1953,25,True,
24,Darjeeling,,Ugam Tshering,1927,73,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),"UJ.lW,\L RAI",1908,12,True,
10,Alipurduar,,SHAILEN CHIK,1903,7,True,
16,Jalpaiguri,,BISWANATH SARKAR,1899,70,True,
25,Darjeeling,,337,1826,5,True,
24,Darjeeling,,Bhuptrndra Rai,1635,22,True,
37,Dakshin Dinajpur,Kushmandi (SC) AC,REKITA BHIMNAI,1503,49,True,
17,Jalpaiguri,,HAREKRISHNA ROY,1502,10,True,
24,Darjeeling,,Bhuprrndra Rai,1473,22,True,
24,Darjeeling,,Bhupendra Rai,1456,18,True,
17,Jalpaiguri,,KUMAR,1388,24,True,
16,Jalpaiguri,,BINAY ROY,1332,96,True,
39,Dakshin Dinajpur,BALURGHAT,ANU1',1279,27,True,
23,Darjeeling,,PEMBA MILAN,1262,20,True,
30,Uttar Dinajpur,Goalpokhar,SHAMBHU AHSEN,1245,27,True,
17,Jalpaiguri,,PRADIPSUKHBILAS SARKAR (PIKU),1219,25,True,
17,Jalpaiguri,,PRADIPSUKHBILASSUBHASHSOUJIT,1207,24,True,
42,Dakshin Dinajpur,Harihampur Assembly,"JALALUDDIN KUMAR, UC(C)",1147,45,True,
41,Dakshin Dinajpur,Gangarampur (SC),AKSI.]AY,1144,12,True,
17,Jalpaiguri,,ABHISHEK ROY,1141,26,True,
46,Malda,,ALAM TAJMUL,1133,26,True,
13,Alipurduar,Falakata(SC),TAPAN KSHITISH,1072,40,True,
25,Darjeeling,,141,1063,5,True,
9,Cooch Behar,,Prahallad Das,1007,22,True,
17,Jalpaiguri,,SUKHBILAS SAARKAR,993,10,True,
51,Malda,ENGLISH BAZAR,DU (12),984,38,True,
10,Alipurduar,,Shailen KUJUR,970,3,True,
10,Alipurduar,,MANOJ UMAR,969,22,True,
44,Malda,,ARUN KUMAR CHINMOY DEB,962,34,True,
10,Alipurduar,,Shrilal CHIK,957,3,True,
