ac_no,has_pdf,has_ocr_markdown,native_rows,native_booths,ocr_rows,ocr_booths,combined_rows,combined_booths,candidate_count,total_candidate_votes_sum,total_electors_ac_level,ac_name,status
121,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
122,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
123,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
124,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
125,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
126,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
127,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
128,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
129,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
130,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
131,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
132,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
133,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
134,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
135,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
136,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
137,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
138,True,False,2154,358,0,0,2154,358,66,138785,257681.0,Canning Paschim (SC),parsed
139,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
140,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
141,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
142,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
143,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
144,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
145,True,False,1880,375,0,0,1880,375,60,216890,270193.0,Satgachia,parsed
146,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
147,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
148,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
149,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
150,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
151,True,False,3024,399,0,0,3024,399,84,235737,300330.0,Sonarpur Uttar,parsed
152,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
153,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
154,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
155,True,False,1860,370,0,0,1860,370,60,151270,271007.0,Maheshtala,parsed
156,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
157,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
158,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
159,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
160,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
161,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
162,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
163,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
164,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
165,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
166,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
167,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
168,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
169,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
170,True,False,3660,305,0,0,3660,305,90,81784,,HOWRAH UTTAR,parsed
171,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
