ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf,selected_source,district,region_scope,booths,total_valid_coverage_pct,placeholder_booth_pct,booths_low_candidate_count,booths_with_placeholders,is_placeholder_candidate,candidate_needs_party_review,ac_quality_flag,form20_model_ready
2,Mathabhanga (SC),,16,Girindra Nath Barman,554,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,16,Sushil Raj Barman,4,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,16,Kangsa Barman,2,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,16,Bikash Mohanta,1,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,16,Ratan Roy,8,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,16,Animesh,2,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,18,Ashok Barman,325,685.0,0.0,3.0,688.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,18,Girindra Nath Barman,322,685.0,0.0,3.0,688.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,18,Sushil Raj Barman,2,685.0,0.0,3.0,688.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,18,Kangsa Barman,2,685.0,0.0,3.0,688.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
2,Mathabhanga (SC),,18,Bikash Mohanta,2,685.0,0.0,3.0,688.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
