ac_no,ac_name,has_pdf,has_ocr_markdown,selected_source,rows,booths,candidate_count,candidate_votes_sum_raw,ac_level_total_electors,total_rows_with_valid_total,total_field_coverage,status,qa_flags
184,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
185,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
186,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
187,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
188,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
189,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
190,,True,False,native_pdf,3132,348,171,173651,,0,0.0,parsed,low_total_field_coverage
191,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
192,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
193,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
194,,True,False,native_pdf,1430,286,75,155880,,0,0.0,parsed,low_total_field_coverage
195,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
196,,True,False,native_pdf,1500,300,80,134356,,0,0.0,parsed,low_total_field_coverage
197,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
198,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
199,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
200,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
201,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
202,KHANAKUL,True,False,native_pdf,1940,385,55,5638591,277259.0,0,0.0,parsed,low_total_field_coverage
203,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
204,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
205,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
206,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
207,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
208,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
209,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
210,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
211,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
212,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
213,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
214,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
215,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
216,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
217,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
218,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
219,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
220,NAYAGRAM (ST),True,False,native_pdf,1968,328,126,86692,226791.0,0,0.0,parsed,low_total_field_coverage
221,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
222,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
223,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
224,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
225,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
226,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
227,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
228,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
229,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
230,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
231,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
232,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
233,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
234,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
235,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
236,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
237,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
238,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
239,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
240,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
241,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
242,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
243,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
244,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
245,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
246,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
247,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
248,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
249,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
250,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
251,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
252,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
253,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
254,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
255,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
256,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
257,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
258,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
259,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
260,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
261,Raina (SC),True,False,native_pdf,1440,360,60,222889,258556.0,0,0.0,parsed,low_total_field_coverage
262,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
263,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
264,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
265,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
266,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
267,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
268,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
269,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
270,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
271,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
272,,True,False,native_pdf,1404,351,60,105343,251003.0,0,0.0,parsed,low_total_field_coverage
273,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
274,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
275,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
276,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
277,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
278,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
279,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
280,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
281,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
282,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
283,,True,False,native_pdf,1493,249,83,216841,,0,0.0,parsed,low_total_field_coverage
284,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
285,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
286,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
287,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
288,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
289,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
290,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
291,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
292,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
293,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
294,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
