ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario
33,Hemtabad (SC),20000,52789.790265756325,58555.8822897992,0.2601,0.7399,-5766.092024042875,0.02,0.05,0.04,0.015,0.04,bjp_surge
34,Kaliaganj (SC),20000,134893.90569831192,92275.54730168787,0.99185,0.00815,42618.35839662406,0.02,0.05,0.04,0.015,0.04,bjp_surge
35,Raiganj,20000,43433.24305402158,27206.32918704961,0.9978,0.0022,16226.91386697197,0.02,0.05,0.04,0.015,0.04,bjp_surge
36,Itahar,20000,39617.93893211076,54368.27806788932,0.02345,0.97655,-14750.339135778559,0.02,0.05,0.04,0.015,0.04,bjp_surge
37,Kushmandi (SC),20000,54240.047069873486,53760.59063671337,0.52065,0.47935,479.4564331601143,0.02,0.05,0.04,0.015,0.04,bjp_surge
38,Kumarganj,20000,35698.130513418975,45109.32311158108,0.0767,0.9233,-9411.192598162097,0.02,0.05,0.04,0.015,0.04,bjp_surge
39,Balurghat,20000,55377.969511558746,38277.51941436707,0.98995,0.01005,17100.45009719168,0.02,0.05,0.04,0.015,0.04,bjp_surge
40,Tapan (ST),20000,58072.70830211451,48505.35723704172,0.86655,0.13345,9567.351065072793,0.02,0.05,0.04,0.015,0.04,bjp_surge
41,Gangarampur (SC),20000,63331.94249326129,51208.232512727,0.90685,0.09315,12123.709980534286,0.02,0.05,0.04,0.015,0.04,bjp_surge
42,Harirampur,20000,108970.42673665356,121671.24834976516,0.24405,0.75595,-12700.821613111591,0.02,0.05,0.04,0.015,0.04,bjp_surge
43,Habibpur (ST),20000,112034.41167929137,75299.0821778513,0.9927,0.0073,36735.32950144006,0.02,0.05,0.04,0.015,0.04,bjp_surge
44,Gazole (SC),20000,107093.21892272156,44786.872077278116,1.0,0.0,62306.34684544344,0.02,0.05,0.04,0.015,0.04,bjp_surge
45,Chanchal,20000,36006.122416536746,71397.9121219251,0.0,1.0,-35391.78970538834,0.02,0.05,0.04,0.015,0.04,bjp_surge
46,Harishchandrapur,20000,25975.641495097767,58209.62500490224,0.0,1.0,-32233.983509804475,0.02,0.05,0.04,0.015,0.04,bjp_surge
47,Malatipur,20000,22845.65214837939,94533.19385162111,0.0,1.0,-71687.5417032417,0.02,0.05,0.04,0.015,0.04,bjp_surge
48,Ratua,20000,148123.79511920616,116936.46488079373,0.98295,0.01705,31187.33023841243,0.02,0.05,0.04,0.015,0.04,bjp_surge
49,Manikchak,20000,170128.16379024793,17247.366209753312,1.0,0.0,152880.7975804946,0.02,0.05,0.04,0.015,0.04,bjp_surge
50,Maldaha,20000,50980.70247792298,36193.44452207708,0.9834,0.0166,14787.257955845904,0.02,0.05,0.04,0.015,0.04,bjp_surge
51,English Bazar,20000,163220.16330291517,112618.92502945423,0.9876,0.0124,50601.238273460935,0.02,0.05,0.04,0.015,0.04,bjp_surge
52,Mothabari,20000,63593.68661997523,126071.454820439,0.0,1.0,-62477.768200463775,0.02,0.05,0.04,0.015,0.04,bjp_surge
53,Sujapur,20000,37570.68248796048,156986.10651203978,0.0,1.0,-119415.4240240793,0.02,0.05,0.04,0.015,0.04,bjp_surge
54,Baisnabnagar,20000,98792.92020692574,115633.21379307428,0.11415,0.88585,-16840.293586148535,0.02,0.05,0.04,0.015,0.04,bjp_surge
1,Mekliganj (SC),20000,43586.20656995191,57773.23343004788,0.0405,0.9595,-14187.026860095972,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
2,Mathabhanga (SC),20000,79687.86194288971,69279.52277673632,0.80725,0.19275,10408.339166153395,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
3,Cooch Behar Uttar (SC),20000,62504.0914588807,61893.068541118744,0.52695,0.47305,611.0229177619576,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
4,Cooch Behar Dakshin,20000,57217.89370900333,61080.30979885051,0.34245,0.65755,-3862.4160898471832,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
5,Sitalkuchi (SC),20000,13809.200931090241,12629.199068909775,0.71025,0.28975,1180.001862180467,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
