ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,margin_probability_gap,confidence_bucket
41,Gangarampur (SC),20000,48616.18518780331,46092.36870441227,0.6299,0.3701,2523.8164833910405,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.6299,62.99,0.25980000000000003,lean
42,Harirampur,20000,67573.05926267755,88531.30699246703,0.0454,0.9546,-20958.247729789477,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9546,95.46,0.9092,high_confidence
43,Habibpur (ST),20000,107672.3885094618,85209.04006196628,0.9278,0.0722,22463.348447495508,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9278,92.78,0.8555999999999999,high_confidence
44,Gazole (SC),20000,88559.71748267695,51018.28251732322,1.0,0.0,37541.43496535373,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
45,Chanchal,20000,40855.59338248395,97433.10345009468,0.0,1.0,-56577.51006761074,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
46,Harishchandrapur,20000,10086.948391663342,27418.45339405114,0.0,1.0,-17331.5050023878,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
47,Malatipur,20000,18346.53596182756,92149.46403817186,0.0,1.0,-73802.9280763443,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
48,Ratua,20000,141488.73688425668,70787.26311574313,1.0,0.0,70701.47376851355,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
49,Manikchak,20000,158938.94989517238,20225.05010482813,1.0,0.0,138713.8997903443,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
50,Maldaha,20000,19956.043778962,16654.956221038014,0.8703,0.1297,3301.087557923988,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8703,87.03,0.7405999999999999,likely
51,English Bazar,20000,147824.36099271564,120061.32108820904,0.89945,0.10055,27763.03990450659,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.89945,89.94,0.7988999999999999,likely
52,Mothabari,20000,35421.26929884126,84510.73070115873,0.0,1.0,-49089.461402317465,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
53,Sujapur,20000,22797.22687506564,127323.77312493412,0.0,1.0,-104526.5462498685,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
54,Baisnabnagar,20000,38589.94157630652,91004.05842369318,0.0,1.0,-52414.11684738666,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
1,Mekliganj (SC),20000,32313.070739215796,34977.92926078433,0.31035,0.68965,-2664.8585215685366,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.68965,68.96,0.37929999999999997,lean
2,Mathabhanga (SC),20000,74842.92492462244,52992.04937444266,0.98345,0.01655,21850.875550179782,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.98345,98.34,0.9669000000000001,high_confidence
3,Cooch Behar Uttar (SC),20000,44542.69260776584,36097.71835113804,0.90645,0.09355,8444.974256627798,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.90645,90.64,0.8129,high_confidence
4,Cooch Behar Dakshin,20000,64576.37883494268,56411.83058914115,0.7993,0.2007,8164.54824580152,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.7993,79.93,0.5986,likely
5,Sitalkuchi (SC),20000,16204.830577315932,11195.169422684106,0.99035,0.00965,5009.661154631826,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.99035,99.04,0.9806999999999999,high_confidence
6,Sitai (SC),20000,46480.357818739336,46946.0987030002,0.4707,0.5293,-465.7408842608631,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.5293,52.93,0.058599999999999985,competitive
7,Dinhata,20000,66725.92744940854,61676.0725505916,0.68505,0.31495,5049.854898816943,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.68505,68.51,0.37010000000000004,lean
8,Natabari,20000,85227.56412077212,61945.93137472366,0.97485,0.02515,23281.63274604846,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.97485,97.48,0.9497,high_confidence
9,Tufanganj,20000,93875.51933936556,62854.17925876499,0.99375,0.00625,31021.34008060056,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.99375,99.38,0.9875,high_confidence
10,Kumargram (ST),20000,90678.8693932787,75340.74786335875,0.8761,0.1239,15338.121529919958,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.8761,87.61,0.7522,likely
11,Kalchini (ST),20000,26986.363597904485,17984.763853076012,0.9941,0.0059,9001.599744828474,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9941,99.41,0.9882,high_confidence
12,Alipurduars,20000,65940.9694005904,51801.67903690957,0.9331,0.0669,14139.290363680828,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9331,93.31,0.8662000000000001,high_confidence
13,Falakata,20000,107533.06656589918,95450.93343410084,0.7684,0.2316,12082.133131798351,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.7684,76.84,0.5367999999999999,likely
14,Madarihat,20000,58840.37209021597,36317.62790978408,0.99835,0.00165,22522.74418043189,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.99835,99.84,0.9966999999999999,high_confidence
15,Dhupguri (SC),20000,85395.67692587468,75709.70921273928,0.7732,0.2268,9685.967713135398,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.7732,77.32,0.5464,likely
16,Maynaguri (SC),20000,82054.59509853965,67793.33074891802,0.883,0.117,14261.264349621642,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.883,88.3,0.766,likely
17,Jalpaiguri (SC),20000,57001.23549403651,53219.31138096372,0.667,0.333,3781.9241130727887,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.667,66.7,0.334,lean
18,Rajganj (SC),20000,38216.78883693719,41505.62292776869,0.30035,0.69965,-3288.8340908315063,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.69965,69.96,0.3993,lean
19,Dabgram-Phulbari,20000,39438.90761674888,28594.16976420313,0.9781,0.0219,10844.737852545744,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9781,97.81,0.9561999999999999,high_confidence
20,Mal (ST),20000,47370.01800717863,39745.98199282134,0.9313,0.0687,7624.0360143572925,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9313,93.13,0.8626,high_confidence
21,Nagrakata (ST),20000,26778.00525337964,18529.559681685176,0.9881,0.0119,8248.445571694461,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9881,98.81,0.9762,high_confidence
22,Kalimpong,20000,46526.740840795406,416.766201461198,1.0,0.0,46109.97463933421,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
23,Darjeeling,20000,193060.85027303817,32660.149726961656,1.0,0.0,160400.70054607652,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
24,Kurseong,20000,187277.01950888583,1700.491803308922,1.0,0.0,185576.5277055769,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
25,Matigara-Naxalbari (SC),20000,109347.86779026642,49221.41722602031,1.0,0.0,60126.45056424611,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
26,Siliguri,20000,10436.058512377202,5759.94148762286,0.99965,0.00035,4676.117024754341,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.99965,99.96,0.9993000000000001,high_confidence
27,Phansidewa (ST),20000,9126.475630408926,6205.524369591079,0.99115,0.00885,2920.951260817848,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.99115,99.12,0.9823,high_confidence
28,Chopra,20000,60712.38940431284,115679.13052322344,0.0,1.0,-54966.74111891061,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
29,Islampur,20000,7034.277868223878,14343.72213177607,0.0,1.0,-7309.444263552194,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
