ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,competitiveness
21,Nagrakata (ST),20000,37295.58881954038,25807.32027136866,0.9879,0.0121,11488.268548171724,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9879,98.79,very_strong
22,Kalimpong,20000,47595.733828835175,426.2802556660537,1.0,0.0,47169.45357316912,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
23,Darjeeling,20000,194227.6846316154,32914.31536838405,1.0,0.0,161313.36926323135,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
24,Kurseong,20000,187664.89983308985,1704.0141940716726,1.0,0.0,185960.88563901815,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
25,Matigara-Naxalbari (SC),20000,132972.3507451985,59855.63948281466,1.0,0.0,73116.71126238383,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
26,Siliguri,20000,16228.624851661563,8956.275148338378,0.99975,0.00025,7272.349703323184,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.99975,99.98,very_strong
27,Phansidewa (ST),20000,26568.235322530803,18065.764677469146,0.9911,0.0089,8502.470645061658,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9911,99.11,very_strong
28,Chopra,20000,64070.76824483726,122078.31146530792,0.0,1.0,-58007.54322047067,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
29,Islampur,20000,7034.277868223878,14343.72213177607,0.0,1.0,-7309.444263552194,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
30,Goalpokhar,20000,23287.068877490463,38099.93112250927,0.0003,0.9997,-14812.8622450188,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.9997,99.97,very_strong
31,Chakulia,20000,23105.15417084012,34890.61505992937,0.0047,0.9953,-11785.460889089254,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.9953,99.53,very_strong
32,Karandighi,20000,66230.71241264095,98996.28758735867,0.0,1.0,-32765.57517471773,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
33,Hemtabad (SC),20000,62019.28704284449,74678.08332752512,0.1238,0.8762,-12658.79628468063,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.8762,87.62,strong
34,Kaliaganj (SC),20000,150967.2647997477,114406.735200252,0.9617,0.0383,36560.5295994957,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9617,96.17,very_strong
35,Raiganj,20000,27945.17233072691,19026.36338355913,0.9913,0.0087,8918.808947167776,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9913,99.13,very_strong
36,Itahar,20000,30040.885405514724,44716.68602305661,0.0085,0.9915,-14675.800617541883,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.9915,99.15,very_strong
37,Kushmandi (SC),20000,55886.17994690646,60043.23921477009,0.32695,0.67305,-4157.059267863631,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.67305,67.31,likely
38,Kumarganj,20000,31466.728155122797,43121.27184487739,0.02625,0.97375,-11654.5436897546,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.97375,97.38,very_strong
39,Balurghat,20000,60345.51351326891,45283.94327685464,0.9629,0.0371,15061.57023641427,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9629,96.29,very_strong
40,Tapan (ST),20000,60968.761103930425,55277.79311293677,0.72875,0.27125,5690.967990993655,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.72875,72.88,likely
41,Gangarampur (SC),20000,57472.823669570935,50328.75417474072,0.7948,0.2052,7144.069494830209,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.7948,79.48,likely
42,Harirampur,20000,85427.2404956038,103213.12575954072,0.1195,0.8805,-17785.885263936914,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.8805,88.05,strong
43,Habibpur (ST),20000,118302.72702591593,86297.08249789354,0.97425,0.02575,32005.64452802237,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.97425,97.42,very_strong
