ac_no,ac_name,bjp_win_probability_bjp_moderate,bjp_win_probability_bjp_surge,bjp_win_probability_neutral,bjp_win_probability_tmc_consolidation,bjp_win_probability_tmc_defence,expected_margin_bjp_moderate,expected_margin_bjp_surge,expected_margin_neutral,expected_margin_tmc_consolidation,expected_margin_tmc_defence,mean_bjp_votes_bjp_moderate,mean_bjp_votes_bjp_surge,mean_bjp_votes_neutral,mean_bjp_votes_tmc_consolidation,mean_bjp_votes_tmc_defence,mean_tmc_votes_bjp_moderate,mean_tmc_votes_bjp_surge,mean_tmc_votes_neutral,mean_tmc_votes_tmc_consolidation,mean_tmc_votes_tmc_defence,tmc_win_probability_bjp_moderate,tmc_win_probability_bjp_surge,tmc_win_probability_neutral,tmc_win_probability_tmc_consolidation,tmc_win_probability_tmc_defence,winner_party,winner_votes,runner_party,runner_votes,margin_2021,district,lean_neutral,lean_bjp_moderate,lean_bjp_surge,lean_tmc_consolidation,lean_tmc_defence,bjp_wins_across_scenarios
48,Ratua,0.94645,0.98295,0.8687,0.64505,0.4493,24255.013337567307,31187.33023841243,17169.46642102003,6038.195060702062,-1327.206084537435,146121.07566878415,148123.79511920616,145354.73321051014,142524.49753035078,134738.6969577312,121866.06233121685,116936.46488079372,128185.26678949012,136486.3024696487,136065.90304226865,0.05355,0.01705,0.1313,0.35495,0.5507,TMC,130674,BJP,55024,75650,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,TOSS_UP,4
12,Alipurduars,0.9322,0.975,0.83995,0.5994,0.4005,18891.567953976763,24941.147924215067,12826.967495319974,3205.7570389755606,-3280.015101508808,88508.13271214484,90669.4265949204,87114.05406015979,83917.46023823805,78253.55705862054,69616.56475816808,65728.27867070535,74287.08656483982,80711.70319926248,81533.57216012935,0.0678,0.025,0.16005,0.4006,0.5995,BJP,107333,TMC,91326,16007,Alipurduar,LIKELY_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,TOSS_UP,4
3,Cooch Behar Uttar (SC),0.9061,0.9648,0.7886,0.52695,0.3302,12535.10678209032,17125.294051873832,7916.522076237655,611.0229177619576,-4236.48514452461,66008.67969104488,67651.2980259367,64937.261038118646,62504.0914588807,58250.96742773753,53473.57290895456,50526.00397406286,57020.73896188099,61893.06854111874,62487.45257226215,0.0939,0.0352,0.2114,0.47305,0.6698,BJP,120483,TMC,105868,14615,Cooch Behar,LIKELY_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,LIKELY_TMC,4
16,Maynaguri (SC),0.8813,0.9529,0.75165,0.47155,0.28515,15911.624036061108,22419.99616240145,9345.394839895656,-1018.4671811021328,-7815.481034349048,92405.07091072106,94736.92659709128,90871.79805554084,87413.84905775417,81429.36911206263,76493.44687465996,72316.93043468981,81526.4032156452,88432.3162388563,89244.85014641169,0.1187,0.0471,0.24835,0.52845,0.71485,BJP,115306,TMC,103395,11911,Jalpaiguri,LIKELY_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,LIKELY_TMC,3
10,Kumargram (ST),0.8749,0.9515,0.74005,0.45815,0.27225,14573.389083810674,20705.090282498848,8383.235506015933,-1382.0485289946914,-7768.602172052586,86790.86027398489,88988.3893735506,85343.15978840663,82083.54861160906,76455.72552901792,72217.47119017421,68283.29909105174,76959.9242823907,83465.59714060376,84224.3277010705,0.1251,0.0485,0.25995,0.54185,0.72775,BJP,111974,TMC,100973,11001,Alipurduar,LIKELY_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,LIKELY_TMC,3
4,Cooch Behar Dakshin,0.7997,0.90775,0.63415,0.34245,0.1861,7652.613680823594,12064.36578118959,3172.035412376058,-3862.4160898471832,-8341.569399862117,60638.43918190385,62223.8295568251,59575.33315121384,57217.89370900333,53238.63759064478,52985.82550108025,50159.46377563551,56403.29773883778,61080.30979885051,61580.2069905069,0.2003,0.09225,0.36585,0.65755,0.8139,BJP,96629,TMC,91830,4799,Cooch Behar,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,LIKELY_TMC,3
41,Gangarampur (SC),0.7959,0.90685,0.62975,0.3344,0.17545,7625.385231986236,12123.709980534286,3055.2074097581267,-4117.804758214462,-8677.591646375942,61715.17427407728,63331.94249326129,60629.86118990903,58225.40025562313,54172.43908699145,54089.78904209103,51208.232512727,57574.6537801509,62343.20501383759,62850.03073336739,0.2041,0.09315,0.37025,0.6656,0.82455,BJP,88724,TMC,84132,4592,Dakshin Dinajpur,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,LIKELY_TMC,3
15,Dhupguri (SC),0.77265,0.89325,0.60075,0.3132,0.15625,9284.106452267444,15291.825615942847,3171.9201635884046,-6410.616415317798,-12463.582097453487,81849.25657613383,84009.88141688245,80392.945230309,77177.81664382629,71787.12424830283,72565.15012386639,68718.05580093959,77221.0250667206,83588.43305914408,84250.70634575632,0.22735,0.10675,0.39925,0.6868,0.84375,BJP,104688,TMC,100333,4355,Jalpaiguri,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,LIKELY_TMC,3
13,Falakata,0.773,0.89495,0.59555,0.3046,0.15305,13070.612641877866,21685.1385515684,4304.00395414803,-9437.199166770171,-18106.700085393823,117210.05592093887,120308.56127578416,115120.00197707408,110508.76041661536,102784.96995730347,104139.443279061,98623.42272421576,110815.99802292604,119945.95958338554,120891.67004269733,0.227,0.10505,0.40445,0.6954,0.84695,BJP,102993,TMC,99003,3990,Alipurduar,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,LIKELY_TMC,3
7,Dinhata,0.7666,0.8899,0.58875,0.3013,0.1523,6207.262520322817,10286.283024076163,2164.2294391311048,-3945.835768712735,-7684.214802294678,58128.48176016128,59567.02651203833,57247.114719565536,55315.38211564359,51761.242598852936,51921.21923983847,49280.743487962165,55082.88528043443,59261.21788435632,59445.457401147614,0.2334,0.1101,0.41125,0.6987,0.8477,BJP,116035,TMC,115978,57,Cooch Behar,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,LIKELY_TMC,3
40,Tapan (ST),0.733,0.86655,0.54875,0.2693,0.13245,5362.799387103933,9567.351065072791,1074.4126129417778,-5635.345379377663,-9825.112202946138,56558.86657111236,58072.70830211451,55531.048173940886,53276.04601513055,49531.34734732229,51196.067184008425,48505.35723704172,54456.63556099911,58911.39139450821,59356.45955026842,0.267,0.13345,0.45125,0.7307,0.86755,BJP,84381,TMC,82731,1650,Dakshin Dinajpur,TOSS_UP,LIKELY_BJP,SAFE_BJP,LIKELY_TMC,SAFE_TMC,3
17,Jalpaiguri (SC),0.66965,0.82755,0.47225,0.205,0.0939,3867.090079517138,8241.034791560329,-610.2426325482845,-7595.363197699296,-11883.856799972164,57745.35487257105,59322.76678640522,56663.14430872588,54309.9493386505,50456.65456876378,53878.26479305391,51081.73199484489,57273.38694127417,61905.3125363498,62340.51136873595,0.33035,0.17245,0.52775,0.795,0.9061,TMC,95668,BJP,94727,941,Jalpaiguri,TOSS_UP,LIKELY_BJP,LIKELY_BJP,LIKELY_TMC,SAFE_TMC,2
6,Sitai (SC),0.4773,0.6701,0.28715,0.09305,0.03575,-641.6523813223481,4725.095101243996,-6186.154778632796,-14772.624517683256,-19814.03044823799,67415.71700064317,69359.29181149154,66047.0095672055,63136.57643681017,58541.67086283734,68057.36938196552,64634.19671024754,72233.16434583829,77909.20095449343,78355.70131107533,0.5227,0.3299,0.71285,0.90695,0.96425,TMC,117908,BJP,107796,10112,Cooch Behar,LIKELY_TMC,TOSS_UP,LIKELY_BJP,SAFE_TMC,SAFE_TMC,1
37,Kushmandi (SC),0.32935,0.52065,0.1718,0.04345,0.01345,-3882.977835788208,479.4564331601143,-8421.666236704772,-15411.192469223284,-19371.570454577457,52655.11828599824,54240.047069873486,51517.05011518033,49136.844663592005,45484.81917390884,56538.09612178645,53760.59063671337,59938.7163518851,64548.03713281529,64856.3896284863,0.67065,0.47935,0.8282,0.95655,0.98655,TMC,89968,BJP,77384,12584,Dakshin Dinajpur,LIKELY_TMC,LIKELY_TMC,TOSS_UP,SAFE_TMC,SAFE_TMC,1
1,Mekliganj (SC),0.30945,0.5038,0.15975,0.0405,0.0112,-3891.025370623708,3.1300029087483883,-7946.529862839079,-14187.026860095972,-17704.892564211135,46731.86151468808,48147.29900145435,45712.73506858044,43586.20656995191,40336.69371789441,50622.88688531178,48144.1689985456,53659.26493141952,57773.23343004788,58041.58628210556,0.69055,0.4962,0.84025,0.9595,0.9888,TMC,99338,BJP,84653,14685,Cooch Behar,LIKELY_TMC,LIKELY_TMC,TOSS_UP,SAFE_TMC,SAFE_TMC,1
18,Rajganj (SC),0.29825,0.48885,0.15255,0.03775,0.01145,-4218.620387528211,-225.86697598567605,-8378.972854474508,-14778.150511563612,-18375.70962592935,47768.93128123602,49220.552262007135,46722.26357276282,44540.90974421812,41214.77768703522,51987.55166876423,49446.41923799281,55101.23642723733,59319.06025578173,59590.48731296457,0.70175,0.51115,0.84745,0.96225,0.98855,TMC,104641,BJP,88868,15773,Jalpaiguri,LIKELY_TMC,LIKELY_TMC,TOSS_UP,SAFE_TMC,SAFE_TMC,0
33,Hemtabad (SC),0.1291,0.2601,0.0501,0.0071,0.00205,-10332.770456204396,-5766.092024042875,-15143.18454952196,-22478.40650717918,-26367.626370694383,51121.20785893465,52789.790265756325,49882.315132646254,47363.78230196578,43695.55514798595,61453.97831513904,58555.8822897992,65025.49968216821,69842.18880914497,70063.18151868033,0.8709,0.7399,0.9499,0.9929,0.99795,TMC,116425,BJP,89210,27215,Uttar Dinajpur,SAFE_TMC,SAFE_TMC,LIKELY_TMC,SAFE_TMC,SAFE_TMC,0
42,Harirampur,0.11605,0.24405,0.0469,0.0085,0.0017,-22168.607737513263,-12700.821613111591,-32148.767409726737,-47358.585394956,-55391.289883777,105509.94230367108,108970.42673665356,102935.76855851088,97711.06261116422,90124.4057988526,127678.55004118432,121671.24834976516,135084.5359682376,145069.64800612023,145515.6956826296,0.88395,0.75595,0.9531,0.9915,0.9983,TMC,96131,BJP,73459,22672,Dakshin Dinajpur,SAFE_TMC,SAFE_TMC,LIKELY_TMC,SAFE_TMC,SAFE_TMC,0
30,Goalpokhar,0.1114,0.2373,0.0442,0.00805,0.0016,-3223.6697415395647,-1915.1068705682603,-4525.927913938955,-6340.690162209761,-7175.864341265688,17301.273629230236,17748.99156471595,17042.0360430305,16520.754918895087,15524.017829367122,20524.9433707698,19664.09843528421,21567.963956969452,22861.44508110485,22699.88217063281,0.8886,0.7627,0.9558,0.99195,0.9984,TMC,105649,BJP,32135,73514,Uttar Dinajpur,SAFE_TMC,SAFE_TMC,LIKELY_TMC,SAFE_TMC,SAFE_TMC,0
54,Baisnabnagar,0.04475,0.11415,0.01435,0.00195,0.0005,-24217.729014659966,-16840.293586148535,-32098.846266775847,-43835.66857644219,-49397.55905777352,96288.08259266971,98792.92020692574,94593.57686661257,90938.02571177876,84837.79047111345,120505.81160732968,115633.21379307428,126692.4231333884,134773.69428822096,134235.34952888696,0.95525,0.88585,0.98565,0.99805,0.9995,TMC,83061,BJP,80590,2471,Malda,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,0
38,Kumarganj,0.02675,0.0767,0.0078,0.00065,5e-05,-12783.104108437265,-9411.192598162095,-16383.68306311869,-21814.985374381413,-24475.716107487457,34458.32530203137,35698.130513418975,33504.47096844075,31622.746062809336,29041.491321256268,47241.42941046864,45109.32311158108,49888.15403155944,53437.73143719075,53517.20742874373,0.97325,0.9233,0.9922,0.99935,0.99995,TMC,89117,BJP,59736,29381,Dakshin Dinajpur,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,0
36,Itahar,0.0068,0.02345,0.00115,0.0,0.0,-18714.178661629016,-14750.33913577856,-22981.668210297747,-29377.273174503836,-32354.1585281956,38154.9317191855,39617.93893211076,37005.665894850856,34777.7934127482,31834.45573590224,56869.11038081452,54368.27806788932,59987.3341051486,64155.06658725203,64188.61426409784,0.9932,0.97655,0.99885,1.0,1.0,TMC,114645,BJP,70670,43975,Uttar Dinajpur,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,0
31,Chakulia,0.0052,0.0204,0.0011,5e-05,0.0,-17664.91856924691,-14046.69766322002,-21565.817558295177,-27405.48618638448,-30098.964536559004,34456.45187306877,35792.77336069778,33402.97583623723,31366.85921449996,28694.54350095131,52121.37044231568,49839.4710239178,54968.7933945324,58772.34540088444,58793.50803751031,0.9948,0.9796,0.9989,0.99995,1.0,TMC,86311,BJP,52474,33837,Uttar Dinajpur,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,SAFE_TMC,0
